	Channel	analysis_protocol.protocol_core.protocol_id	analysis_protocol.provenance.document_id	analysis_working_group_approval_status	annotated_cell_identity.ontology	annotated_cell_identity.ontology_label	annotated_cell_identity.text	barcode	bundle_uuid	bundle_version	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.genus_species.ontology	cell_suspension.genus_species.ontology_label	cell_suspension.provenance.document_id	derived_organ_label	derived_organ_ontology	derived_organ_parts_label	derived_organ_parts_ontology	donor_organism.development_stage.ontology	donor_organism.development_stage.ontology_label	donor_organism.diseases.ontology	donor_organism.diseases.ontology_label	donor_organism.human_specific.ethnicity.ontology	donor_organism.human_specific.ethnicity.ontology_label	donor_organism.is_living	donor_organism.provenance.document_id	donor_organism.sex	dss_bundle_fqid	emptydrops_is_cell	file_uuid	file_version	genes_detected	library_preparation_protocol.end_bias	library_preparation_protocol.input_nucleic_acid_molecule.ontology	library_preparation_protocol.input_nucleic_acid_molecule.ontology_label	library_preparation_protocol.library_construction_method.ontology	library_preparation_protocol.library_construction_method.ontology_label	library_preparation_protocol.provenance.document_id	library_preparation_protocol.strand	louvain_labels	n_counts	n_genes	passed_qc	percent_mito	project.project_core.project_short_name	project.project_core.project_title	project.provenance.document_id	specimen_from_organism.organ.ontology	specimen_from_organism.organ.ontology_label	specimen_from_organism.organ_parts.ontology	specimen_from_organism.organ_parts.ontology_label	specimen_from_organism.provenance.document_id	total_umis
05082402-8da9-4f98-a5f9-e94a4961612c	05082402-8da9-4f98-a5f9-e94a4961612c	smartseq2_v2.3.0	db23407b-0385-4110-a014-eb19c9937259	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	4219f236-3017-4f17-aea6-c0f31ca2b3c2	2019-05-15T215546.364000Z	D100Dp24A06	NCBITaxon:9606	Homo sapiens	05082402-8da9-4f98-a5f9-e94a4961612c	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	4219f236-3017-4f17-aea6-c0f31ca2b3c2.2019-05-15T215546.364000Z	nan	f0a30510-5f3b-49e0-87d4-feb6a1a2753f	2019-05-15T220041.045452Z	5136	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	2	519718.0	5136	1	7.298759937286377	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
1f32cee4-7db9-4ba4-b577-12a6c53fc6f6	1f32cee4-7db9-4ba4-b577-12a6c53fc6f6	smartseq2_v2.3.0	62919d5d-c32b-4aa7-ba8c-5db56653f5f7	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	8f5f9d7e-311e-4e35-a8d0-4f228054aa36	2019-05-16T003114.139000Z	D100Dp3B03	NCBITaxon:9606	Homo sapiens	1f32cee4-7db9-4ba4-b577-12a6c53fc6f6	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	8f5f9d7e-311e-4e35-a8d0-4f228054aa36.2019-05-16T003114.139000Z	nan	d9a5c89a-f5ea-4a00-bb03-a9ddc09aa164	2019-05-16T023930.115184Z	5035	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	2	517700.9375	5035	1	6.181087493896484	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
2b752159-0170-4ed4-b8d0-315ed2e68614	2b752159-0170-4ed4-b8d0-315ed2e68614	smartseq2_v2.3.0	77dc8aec-56cd-423d-b245-db882c31b0f0	blessed	CL:0000540||UBERON:0004024	neuron||medial ganglionic eminence	MGE neuron	nan	0ccd5614-0850-4862-a24f-84b3849cd7bd	2019-05-16T003901.667000Z	D54Dp5AsE01	NCBITaxon:9606	Homo sapiens	2b752159-0170-4ed4-b8d0-315ed2e68614	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	0ccd5614-0850-4862-a24f-84b3849cd7bd.2019-05-16T003901.667000Z	nan	a7416977-bacd-4307-8377-86fb118808b7	2019-05-16T020817.423245Z	4987	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	1	570321.0	4987	1	5.724674224853516	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
3e951e39-ecaf-4fff-89be-0dab6a57f397	3e951e39-ecaf-4fff-89be-0dab6a57f397	smartseq2_v2.3.0	e759af01-a975-464b-a4ef-413b6ddde880	blessed	CL:0000540||UBERON:0004024	neuron||medial ganglionic eminence	MGE neuron	nan	3f2929b6-15af-4ac7-852a-37efaf5f9703	2019-05-15T230115.970000Z	D26Dp4G08	NCBITaxon:9606	Homo sapiens	3e951e39-ecaf-4fff-89be-0dab6a57f397	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	3f2929b6-15af-4ac7-852a-37efaf5f9703.2019-05-15T230115.970000Z	nan	2ea5689d-3339-436e-a26d-8c519751fb24	2019-05-16T002958.565805Z	6045	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	1	511922.96875	6045	1	5.653526306152344	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
488858e6-d113-4b21-b856-2ca01fddb78e	488858e6-d113-4b21-b856-2ca01fddb78e	smartseq2_v2.3.0	2a6fa45c-e7cc-422f-ba82-28c28652edbd	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	a67a2a70-d7ba-4040-a14c-1bb1229ce28e	2019-05-15T215420.051000Z	D100Dp10E08	NCBITaxon:9606	Homo sapiens	488858e6-d113-4b21-b856-2ca01fddb78e	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	a67a2a70-d7ba-4040-a14c-1bb1229ce28e.2019-05-15T215420.051000Z	nan	41a733c3-01a2-4ba4-92f8-e0baaa7c895b	2019-05-15T215745.431329Z	5058	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	2	424686.03125	5058	1	7.536539554595947	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
56029b1c-3eb6-4087-8653-9f263e212342	56029b1c-3eb6-4087-8653-9f263e212342	smartseq2_v2.3.0	bfd47479-c6d9-459b-a66a-172e2862b9ba	blessed	CL:0011020||UBERON:0004024	neural progenitor cell||medial ganglionic eminence	MGE progenitor	nan	436c6a9a-a3a4-401e-9457-402a4a338279	2019-05-15T223031.785000Z	D26Dn16E08	NCBITaxon:9606	Homo sapiens	56029b1c-3eb6-4087-8653-9f263e212342	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	436c6a9a-a3a4-401e-9457-402a4a338279.2019-05-15T223031.785000Z	nan	2020e279-6039-44b2-8ec6-3f9529962596	2019-05-15T231238.818729Z	9178	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	3	569857.875	9178	1	7.842739582061768	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
6ed7947a-e5f7-4df6-870f-934465ca5bd5	6ed7947a-e5f7-4df6-870f-934465ca5bd5	smartseq2_v2.3.0	e0850d0d-f465-4a92-830b-a0f9cad77a58	blessed	CL:0000540||UBERON:0004024	neuron||medial ganglionic eminence	MGE neuron	nan	8d53d554-c79d-46e1-9776-112a34b02e3d	2019-05-15T230810.668000Z	D26Dp4C11	NCBITaxon:9606	Homo sapiens	6ed7947a-e5f7-4df6-870f-934465ca5bd5	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	8d53d554-c79d-46e1-9776-112a34b02e3d.2019-05-15T230810.668000Z	nan	9af2294a-2e0b-4f47-8b1d-ddc7b18f6bf6	2019-05-16T003630.421021Z	5491	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	1	346652.875	5491	1	5.58223819732666	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
74836564-d462-488c-b885-6f8371515092	74836564-d462-488c-b885-6f8371515092	smartseq2_v2.3.0	8d6536ef-5949-4020-a141-bf8f437a6b7b	blessed	CL:0011020||UBERON:0004025	neural progenitor cell||medial ganglionic eminence	MGE progenitor	nan	71ee0306-e1a4-4498-9539-1ca3b8222684	2019-05-15T230629.394000Z	D54Dn15A06	NCBITaxon:9606	Homo sapiens	74836564-d462-488c-b885-6f8371515092	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	71ee0306-e1a4-4498-9539-1ca3b8222684.2019-05-15T230629.394000Z	nan	846fda8e-31ec-4261-a63b-3a9f20e65da1	2019-05-16T005205.931891Z	5320	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	3	270810.0	5320	1	8.514703750610352	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
817bdd79-7fcb-4850-a71d-efad3df62188	817bdd79-7fcb-4850-a71d-efad3df62188	smartseq2_v2.3.0	30941728-4991-4262-8377-15545867483c	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	7cc6f966-fc63-4d1d-a947-6eebeec13299	2019-05-15T223857.425000Z	D54Dp9F08	NCBITaxon:9606	Homo sapiens	817bdd79-7fcb-4850-a71d-efad3df62188	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	7cc6f966-fc63-4d1d-a947-6eebeec13299.2019-05-15T223857.425000Z	nan	f68f02ee-b0fb-4ea0-b532-e3f5f25956bb	2019-05-15T234211.084394Z	6560	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	1	567816.9375	6560	1	2.3136696815490723	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
9c84ed63-f7e5-4876-9baa-4e590a0443f5	9c84ed63-f7e5-4876-9baa-4e590a0443f5	smartseq2_v2.3.0	8271ff60-7419-4162-ad6b-90101b1f8652	blessed	CL:0011020||UBERON:0004030	neural progenitor cell||medial ganglionic eminence	intermediate MGE progenitors	nan	f86038c6-3d45-4777-93a5-8bc8423c02b6	2019-05-15T232424.610000Z	D54Dn19H09	NCBITaxon:9606	Homo sapiens	9c84ed63-f7e5-4876-9baa-4e590a0443f5	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	f86038c6-3d45-4777-93a5-8bc8423c02b6.2019-05-15T232424.610000Z	nan	35d2d86f-a00e-4b19-8746-66b5c5ddcf2e	2019-05-16T021137.848507Z	6279	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	3	262941.9375	6279	1	3.3699605464935303	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
a9530cdc-2c0c-4e10-bdd9-646aabb0d0c0	a9530cdc-2c0c-4e10-bdd9-646aabb0d0c0	smartseq2_v2.3.0	cc650d57-2fbd-4512-a211-c64b52d2e877	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	c68f38a4-0ba2-4eb1-aac7-90aa8ec8cd67	2019-05-15T230132.680000Z	D54Dn25SKA01	NCBITaxon:9606	Homo sapiens	a9530cdc-2c0c-4e10-bdd9-646aabb0d0c0	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	c68f38a4-0ba2-4eb1-aac7-90aa8ec8cd67.2019-05-15T230132.680000Z	nan	d992c91e-2ab6-498a-a4f6-70655b7a1697	2019-05-16T002656.023025Z	7677	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	1	551411.9375	7677	1	12.521590232849121	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
ad9f615a-d2f2-4e72-a591-ba94a74e7ca6	ad9f615a-d2f2-4e72-a591-ba94a74e7ca6	smartseq2_v2.3.0	6fbe59fe-6434-423f-ac4c-ee2834a77434	blessed	CL:0008031	cortical interneuron	cortical interneuron	nan	645bbfc6-4161-42be-8d45-46f5b2708183	2019-05-15T223421.133000Z	D100Dp10G04	NCBITaxon:9606	Homo sapiens	ad9f615a-d2f2-4e72-a591-ba94a74e7ca6	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	645bbfc6-4161-42be-8d45-46f5b2708183.2019-05-15T223421.133000Z	nan	a4fd64bb-fbf1-4aef-a24a-1d6c6efc42b8	2019-05-15T230526.116593Z	6118	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	2	596336.875	6118	1	1.4910497665405273	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
b9b3e8d7-d52e-4887-831c-e1275b69b153	b9b3e8d7-d52e-4887-831c-e1275b69b153	smartseq2_v2.3.0	31e8983e-82d0-4788-a8bf-7b4dee60b682	blessed	CL:0011020||UBERON:0014371	neural progenitor cell||future telencephalon	telencephalic progenitors	nan	3b2b95c6-0861-4b79-b584-023552063494	2019-05-15T230925.428000Z	D26Dn6A10	NCBITaxon:9606	Homo sapiens	b9b3e8d7-d52e-4887-831c-e1275b69b153	brain (cell_line)	UBERON:0000955 (cell_line)			HsapDv:0000006	blastula stage	PATO:0000461	normal			yes	321bb86f-14ba-4c1e-a51d-2b217b10f933	male	3b2b95c6-0861-4b79-b584-023552063494.2019-05-15T230925.428000Z	nan	72391349-6a14-4342-9ed5-a4b0ed1febb6	2019-05-16T010507.699437Z	6460	full length	OBI:0000869	polyA RNA extract	EFO:0008931	Smart-seq2	e2451948-a2b0-43bf-bb19-575beaf87387	unstranded	3	301142.9375	6460	1	7.287375450134277	InVitroInterneuronDifferentiation	Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.	2043c65a-1cf8-4828-a656-9e247d4e64f1	UBERON:0000922	embryo	UBERON:0000358	blastocyst	922ab063-2a5d-4994-9fb5-206378d6676d	
